Listing Name,Price,Room Type,Reviews,Location
Large Private B&B Style Studio,103,Entire home/apt,46 reviews,"Bedford-Stuyvesant, Brooklyn"
The Black and White Loft,71,Private room,3 reviews,"Williamsburg, Brooklyn"
Park Slope Oasis: Your home base!,141,Entire home/apt,1 review,"Park Slope, Brooklyn"
"Cozy, Bright Bushwick Room off L&M",87,Private room,6 reviews,"Bushwick, Brooklyn"
Sunny Large Room in Artists Loft,78,Private room,10 reviews,"Bushwick, Brooklyn"
Private Master Suite in Park Slope,149,Private room,95 reviews,"Park Slope, Brooklyn"
Bedroom in a spacious artsy Loft,78,Private room,48 reviews,"Williamsburg, Brooklyn"
Cozy place in the Bay Ridge NY,123,Entire home/apt,1 review,"Bay Ridge, Brooklyn"
Williamsburg house w/huge garden,452,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Williamsburg/Greenpoint Parkside,317,Entire home/apt,11 reviews,"Greenpoint, Brooklyn"
Williamsburg - Spacious & Charming!,74,Private room,14 reviews,"Williamsburg, Brooklyn"
"The M, a Charming Garden Apartment",142,Entire home/apt,34 reviews,"Bedford-Stuyvesant, Brooklyn"
Loft 305: Classic Brooklyn,218,Entire home/apt,30 reviews,"Greenpoint, Brooklyn"
"Large, peaceful Brooklyn apartment",110,Private room,13 reviews,"Park Slope, Brooklyn"
"Cozy room, overlooking garden",84,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Luxe Private 1BR in Spacious Duplex,75,Private room,9 reviews,"Bushwick, Brooklyn"
"Williamsburg house, Lorimer L stop",123,Private room,28 reviews,"Williamsburg, Brooklyn"
Private Rm in Beautiful Brownstone,71,Private room,7 reviews,"Bushwick, Brooklyn"
"Cozy, Clean Cobble Hill Brownstone",181,Entire home/apt,60 reviews,"Cobble Hill, Brooklyn"
Lovely Bklyn Duplex w/ Courtyard,323,Entire home/apt,48 reviews,"Boerum Hill, Brooklyn"
Williamsburg Penthouse Hideaway,84,Private room,43 reviews,"Williamsburg, Brooklyn"
Lovely sun-lit 3-bedroom apartment,233,Entire home/apt,24 reviews,"Bedford-Stuyvesant, Brooklyn"
Wake up with NYC outside yr window!,78,Private room,6 reviews,"Prospect Heights, Brooklyn"
"Lovely Park Slope Apt, Brooklyn",136,Private room,22 reviews,"Park Slope, Brooklyn"
Brooklyn Budget Williamsburg NYC 3,65,Private room,76 reviews,"Williamsburg, Brooklyn"
Park Slope Brooklyn!  Sunny Bedroom,149,Private room,112 reviews,"Park Slope, Brooklyn"
New 1BR + 1BA with Private Entrance,115,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Bargain Private Room #1,102,Private room,16 reviews,"Bushwick, Brooklyn"
Two Bedrooms with Private Rooftop,252,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
Big sunny room just off bedford ave,76,Private room,44 reviews,"Williamsburg, Brooklyn"
Beautiful Views from True Brooklyn,90,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
ZEN LOFT 3 - 10 MIN TO MANHATTAN :),90,Private room,2 reviews,"Williamsburg, Brooklyn"
Large room in great neighborhood,102,Private room,72 reviews,"Williamsburg, Brooklyn"
Cozy bedroom in an arty apartment!,76,Private room,3 reviews,"Bedford-Stuyvesant, Brooklyn"
2nd Fl Bklyn Brownstone Apt!,129,Entire home/apt,33 reviews,"Lefferts Garden, Brooklyn"
Sunny 2nd floor 2BR Apartment!,128,Entire home/apt,13 reviews,"Dyker Heights, Brooklyn"
Spacious & Stylish-Central location,194,Entire home/apt,27 reviews,"Williamsburg, New York"
Bargain Private Room #2,102,Private room,13 reviews,"Bushwick, Brooklyn"
Central Williamsburg with Garden,84,Private room,23 reviews,"Williamsburg, Brooklyn"
Beautiful room attached to bathroom,102,Private room,34 reviews,"Greenpoint, Brooklyn"
Bright gem in North Williamsburg,194,Entire home/apt,26 reviews,"Williamsburg, Brooklyn"
***Huge Room in Bright Open Loft***,142,Private room,31 reviews,"Williamsburg, Brooklyn"
Best Location: Every Subway Here!,89,Private room,54 reviews,"Park Slope, Brooklyn"
ZEN LOFT 2 - INSTANT BOOK NOW :),103,Private room,7 reviews,"Williamsburg, Brooklyn"
Williamsburg Spacious Studio,200,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
Private 1 bd in Sunny Red Hook Loft,115,Private room,48 reviews,"Red Hook, Brooklyn"
Beautiful Modern Apt in Brooklyn,252,Entire home/apt,23 reviews,"Crown Heights, Brooklyn"
Cozy room in a Spacious Duplex,84,Private room,7 reviews,"Bushwick, Brooklyn"
Gorgeous Private 1 Bedroom,136,Private room,10 reviews,"Clinton Hill, Brooklyn"
Sunny bedroom in Bushwick + Rooftop,58,Private room,9 reviews,"Bedford-Stuyvesant, Brooklyn"
Sun-filled room in Boerum Hill,97,Private room,14 reviews,"Boerum Hill, Brooklyn"
1BR Modern New Apt in Brooklyn,137,Entire home/apt,1 review,"Crown Heights, Brooklyn"
Beautiful Space in Brooklyn Heights,291,Entire home/apt,6 reviews,"Brooklyn Heights, Brooklyn"
Best Location Bright Apt- Bedford L,194,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
COMFY ROOM #3 ~ AMAZING LOCATION!,141,Private room,70 reviews,"Williamsburg, Brooklyn"
Garden Suite in Fort Greene,116,Entire home/apt,74 reviews,"Fort Greene, Brooklyn"
Sunny Williamsburg Apt w/ Deck,291,Entire home/apt,21 reviews,"Williamsburg, New York"
Cozy room in Brooklyn brownstone,84,Private room,3 reviews,"Crown Heights, Brooklyn"
Private 5 Stars Apt- Winter Sale,205,Entire home/apt,143 reviews,"Park Slope, Brooklyn"
"Classic Brownstone Beauty, Sleeps 4",256,Entire home/apt,50 reviews,"Crown Heights, Brooklyn"
BUDGET RM+ 1/2BATH-15 MIN MANHATTAN,83,Private room,0 reviews,"Bushwick, Brooklyn"
Williamsburg Garden Apartment,252,Entire home/apt,16 reviews,"Williamsburg, Brooklyn"
"Sun-filled, Quiet, Eclectic apt",94,Private room,1 review,"Park Slope, Brooklyn"
"Beautiful, cozy apt in lovely nabe!",116,Entire home/apt,55 reviews,"Lefferts Garden, Brooklyn"
Comfy bed in friendly Homestel #1,41,Shared room,8 reviews,"Bedford-Stuyvesant, Brooklyn"
9D Private Room in W'Burg,129,Private room,5 reviews,"Williamsburg, Brooklyn"
Awesome studio in Bushwick!!!,114,Entire home/apt,19 reviews,"Bushwick, Brooklyn"
Big Bedroom/Great Location/Backyard,58,Private room,82 reviews,"Bushwick, Brooklyn"
"Bright, Large room with Queen Bed",123,Private room,1 review,"Williamsburg, Brooklyn"
"Wiliamsburg 3BDR ,Private Deck",413,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Great Williamsburg Apt with Balcony,89,Private room,12 reviews,"Williamsburg, Brooklyn"
Brownstone in Heart of Park Slope,180,Private room,2 reviews,"Park Slope, Brooklyn"
Quite Room in Sunny WB Penthouse,123,Private room,17 reviews,"Williamsburg, Brooklyn"
Sunny Victorian Brownstone Apt.,194,Entire home/apt,17 reviews,"Park Slope, Brooklyn"
Brooklyn Zen,194,Entire home/apt,14 reviews,"Brooklyn Heights, Brooklyn"
Sunny Bushwick Apartment / Morgan L,128,Entire home/apt,7 reviews,"Williamsburg, Brooklyn"
Lovely Private Room in Bushwick! :),58,Private room,0 reviews,"Bushwick, Brooklyn"
Bargain Room #3 - Special Low Price,63,Private room,10 reviews,"Bushwick, Brooklyn"
Mid-Century Modern Garden Paradise,128,Entire home/apt,23 reviews,"Bushwick, Brooklyn"
Sunny Spot in Heart of Williamsburg,282,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Cozy 1br home for your stay in BK!,168,Entire home/apt,3 reviews,"Prospect Heights, Brooklyn"
Private Room in Big Apt on L train,84,Private room,20 reviews,"Bushwick, Brooklyn"
Brooklyn SUITE + Private Full Bath!,90,Private room,3 reviews,"Flatbush, Brooklyn"
Idyllic Boerum Hill One Bedroom,226,Entire home/apt,6 reviews,"Boerum Hill, Brooklyn"
"Huge Apartment Close To City 50"" TV",85,Private room,9 reviews,"Bushwick, Brooklyn"
Duplex w/ Patio @ Box House Hotel,291,Entire home/apt,24 reviews,"Greenpoint, Brooklyn"
Sunny room in picturesque Brooklyn,90,Private room,2 reviews,"Prospect Heights, Brooklyn"
Brooklyn Apt. with Private Garden,129,Entire home/apt,17 reviews,"Clinton Hill, Brooklyn"
"Exclusive Green Bedroom NYC, Brklyn",52,Private room,15 reviews,"Crown Heights, Brooklyn"
Hip Williamsburg 1 Br Garden Access,257,Entire home/apt,30 reviews,"Williamsburg, Brooklyn"
Large & Private 1 BR in BK Heights!,194,Private room,17 reviews,"Brooklyn Heights, Brooklyn"
Williamsburg Church Loft Space,194,Private room,8 reviews,"Williamsburg, Brooklyn"
Bed & Bath in Park Slope Mansion,149,Private room,11 reviews,"Park Slope, Brooklyn"
Small Room,90,Private room,21 reviews,"Park Slope, Brooklyn"
Williamsburg - Steps from Bedford L,129,Private room,28 reviews,"Williamsburg, Brooklyn"
Palace in the Sky,381,Entire home/apt,17 reviews,"Williamsburg, Brooklyn"
Serene Park Slope Garden Apartment,207,Entire home/apt,19 reviews,"Park Slope, Brooklyn"
New listing! Bk artist loft.,182,Entire home/apt,6 reviews,"Bushwick, Brooklyn"
Private Room in Big Apt w/ Patio,90,Private room,1 review,"Williamsburg, Brooklyn"
Bedroom with private Bathroom,137,Private room,1 review,"Williamsburg, Brooklyn"
Large Williamsburg Loft Apartment,258,Entire home/apt,35 reviews,"Williamsburg, Brooklyn"
Church loft in Williamsburg,349,Entire home/apt,22 reviews,"Williamsburg, Brooklyn"
Private room with sleeping loft,58,Private room,14 reviews,"Williamsburg, Brooklyn"
Central Williamsburg Fab Large Room,90,Private room,8 reviews,"Williamsburg, Brooklyn"
Prime location in Williamsburg,84,Private room,34 reviews,"Williamsburg, Brooklyn"
"Modern, Chic Brooklyn Duplex",76,Private room,63 reviews,"Clinton Hill, Brooklyn"
Beautiful Private Apt- Williamsburg,129,Private room,6 reviews,"Greenpoint, Brooklyn"
Brooklyn Bedroom w/ Bathroom,39,Private room,1 review,"Bay Ridge, Brooklyn"
A Great Place to Stay in Brooklyn!,116,Private room,30 reviews,"Williamsburg, Brooklyn"
Modern Stylish 1 bdrm Williamsburg!,161,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
Sunny one bedroom loft apartment,192,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
Apt with pilates studio in Wllmsbrg,103,Private room,111 reviews,"Williamsburg, Brooklyn"
Sunny Elegant and Big Room!,103,Private room,4 reviews,"Bedford-Stuyvesant, Brooklyn"
Option of 2 Beds + Private Bathroom,75,Private room,37 reviews,"Bushwick, Brooklyn"
Large Bedroom with Washer/dryer,98,Private room,3 reviews,"Flatbush, Brooklyn"
"East River Queen, & outdoor deck!",226,Entire home/apt,53 reviews,"Williamsburg, New York"
Best Location Williamsburg Brooklyn,174,Entire home/apt,22 reviews,"Williamsburg, Brooklyn"
Huge and Quiet Room near the Park,90,Private room,2 reviews,"Crown Heights, Brooklyn"
Huge Loft in Prime Williamsburg!,142,Private room,10 reviews,"Williamsburg, Brooklyn"
Sunny 2BR PRIME Williamsburg w/VIEW,258,Entire home/apt,19 reviews,"Williamsburg, Williamsburg, Brooklyn"
Studio in Brownstone - Brooklyn 3F,142,Entire home/apt,46 reviews,"Clinton Hill, Brooklyn"
"3 Bdrm Private, Top Floor Apartment",142,Entire home/apt,2 reviews,"Bedford-Stuyvesant, Brooklyn"
700 SqFt Luxe Loft Floor + Kitchen,149,Private room,27 reviews,"Prospect Heights, Brooklyn"
"Private Entrance, Beautiful Garden",128,Entire home/apt,48 reviews,"Bedford-Stuyvesant, Brooklyn"
Directly Across from Prospect Park!,76,Private room,59 reviews,Brooklyn
A bedroom with a sunroom!,174,Entire home/apt,5 reviews,"Fort Greene, Brooklyn"
Warm Apt 1 stop away from Manhattan,110,Private room,13 reviews,"Williamsburg, Brooklyn"
Funky and Freshh - Greenpoint!,71,Private room,1 review,"Greenpoint, Brooklyn"
Charming Brooklyn Studio,142,Entire home/apt,63 reviews,"Crown Heights, New York"
Room 4 subway stops from Manhattan,103,Private room,45 reviews,"Lefferts Garden, Brooklyn"
Industrial-Chic Brooklyn Flat,161,Entire home/apt,20 reviews,"Bedford-Stuyvesant, Brooklyn"
SUNNY 1BR APARTMENT IN FORT GREENE,213,Entire home/apt,2 reviews,"Fort Greene, Brooklyn"
Charming Carriage House Suite,202,Entire home/apt,175 reviews,"Williamsburg, Brooklyn"
Huge Room in South Williamsburg,97,Private room,71 reviews,"Williamsburg, Brooklyn"
THE PRESIDENT'S SUITE,116,Private room,8 reviews,"Williamsburg, Brooklyn"
Happy Brooklyn! Happy Konakolo!,194,Entire home/apt,1 review,"Park Slope, Brooklyn"
large garden triplex apt near PRATT,291,Entire home/apt,32 reviews,"Clinton Hill, Brooklyn"
Park Slope/Prospect Hghts 2 bedroom,192,Entire home/apt,59 reviews,"Prospect Heights, Brooklyn"
BROOKLYN VICTORIAN STYLE SUITE.....,129,Private room,102 reviews,"Fort Greene, Brooklyn"
"Small Cozy Room, Ideal Location",90,Private room,4 reviews,"Fort Greene, Brooklyn"
4 bedroom apartment,451,Entire home/apt,61 reviews,"Prospect Heights, Brooklyn"
Family Owned & Operated Brownstone,78,Private room,45 reviews,"Bedford-Stuyvesant, Brooklyn"
"BIG, sunny 1BD in bed-stuy",90,Private room,6 reviews,"Bedford-Stuyvesant, Brooklyn"
Bright and Beautiful Brooklyn Apt.,180,Entire home/apt,36 reviews,"Park Slope, Brooklyn"
Cozy Room in Charming Brownstone,71,Private room,16 reviews,"Sunset Park, Brooklyn"
New listing! Bk artist loft.,182,Entire home/apt,6 reviews,"Bushwick, Brooklyn"
"Cool, Comfy Bedroom nr Subway",63,Private room,2 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious Heart of Ft. Greene Studio,129,Entire home/apt,31 reviews,"Fort Greene, Brooklyn"
SUNNY MODERN LOFT A ON BEDFORD AVE!,129,Private room,29 reviews,"Williamsburg, Brooklyn"
Beautiful & Cozy on Bedford Ave!,84,Private room,14 reviews,"Williamsburg, Brooklyn"
Private Loft/Nest in Williamsburg,88,Private room,12 reviews,"Williamsburg, Brooklyn"
PRIME LOCATION-3 MINUTES TO CITY,110,Private room,24 reviews,"Williamsburg, Brooklyn"
SUNNY ROOM  IN PRIME WILLIAMSBURG,78,Private room,0 reviews,"Williamsburg, New York"
Sunny garden side airy room,71,Private room,5 reviews,"Bushwick, Brooklyn"
Beautiful Apt. on top of Brooklyn,258,Entire home/apt,9 reviews,"Fort Greene, Brooklyn"
QUEEN'S QUARTERS,97,Private room,11 reviews,"Williamsburg, Brooklyn"
Awesome Private Bedroom in Bushwick,47,Private room,1 review,"Bushwick, Brooklyn"
Sunny beautiful br in Williamsburg,71,Private room,8 reviews,"Williamsburg, Brooklyn"
Huge and Quiet Room near the Park,90,Private room,2 reviews,"Crown Heights, Brooklyn"
Private room in Wberg APT 3D,116,Private room,31 reviews,"Williamsburg, Brooklyn"
Space for 4 for NYE,129,Entire home/apt,1 review,"Windsor Terrace, Brooklyn"
COZY PRIVATE ROOM,84,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
NYC Brklyn Cozy Rustic Artist Home,59,Private room,15 reviews,"Bushwick, Brooklyn"
It's all about Bushwick BROOKLYN,97,Entire home/apt,66 reviews,"Bushwick, Brooklyn"
Stunning and Modern next to Park,128,Entire home/apt,19 reviews,"Prospect Heights, Brooklyn"
Space for 4 for NYE,129,Entire home/apt,1 review,"Windsor Terrace, Brooklyn"
COZY PRIVATE ROOM,84,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
NYC Brklyn Cozy Rustic Artist Home,59,Private room,15 reviews,"Bushwick, Brooklyn"
Stunning and Modern next to Park,128,Entire home/apt,19 reviews,"Prospect Heights, Brooklyn"
Brooklyn on the Park,233,Entire home/apt,20 reviews,"Williamsburg, Brooklyn"
Fabulous Industrial Dumbo Loft,161,Private room,35 reviews,"DUMBO, Brooklyn"
Industrial loft-Heart of Greenpoint,187,Private room,19 reviews,"Greenpoint, Brooklyn"
Bright Sunny 8x13 Williamsburg Room,99,Private room,5 reviews,"Williamsburg, Brooklyn"
Cozy 1 Bedroom in Clinton Hill,155,Entire home/apt,30 reviews,"Clinton Hill, Brooklyn"
Cozy oasis in heart of Williamsburg,65,Private room,6 reviews,"Williamsburg, Brooklyn"
BEST LOCATION IN WILLIAMSBURG,180,Entire home/apt,47 reviews,"Williamsburg, Brooklyn"
"Cozy, spacious & convenient 1 BR :)",97,Private room,24 reviews,"Bushwick, Brooklyn"
Sweet Room in East Williamsburg,90,Private room,1 review,"Williamsburg, Brooklyn"
Williamsburg/Greenpoint Retreat,110,Private room,0 reviews,"Greenpoint, Brooklyn"
Bright Private Large Rm Greenpoint,116,Private room,6 reviews,"Greenpoint, Brooklyn"
Comfy bed in friendly Homestel #D,45,Shared room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
"LOCATION! beautiful,spacious (Rm#1)",84,Private room,31 reviews,"Prospect Heights, Brooklyn"
Charming Brooklyn 1-BD on main drag,90,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
Invitation to travelers,110,Private room,5 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful Park Slope Apartment,174,Entire home/apt,7 reviews,"Park Slope, Brooklyn"
THE Apartment by Prospect Park!,97,Entire home/apt,14 reviews,"Lefferts Garden, Brooklyn"
BK CHARM~Clean Modern~XPrss Train!!,63,Private room,80 reviews,"Flatbush, Brooklyn"
BnoB (2 br) — Heart of Williamsburg,323,Entire home/apt,109 reviews,"Williamsburg, Brooklyn"
Organic Modern Williamsburg loft,388,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Large/bright Entire Apt. Lorimer L,168,Entire home/apt,132 reviews,"Williamsburg, Brooklyn"
Ditmas Park Carriage House Loft,323,Entire home/apt,8 reviews,"Flatbush, Brooklyn"
Option of 2 Full Beds + Roof Deck,75,Private room,78 reviews,"Bushwick, Brooklyn"
Bedroom in Williamsburg Apartment,97,Private room,7 reviews,"Williamsburg, Brooklyn"
New & Private Luxury Bedroom nr All,67,Private room,3 reviews,"Bushwick, Brooklyn"
Your easy place...,26,Shared room,1 review,"Bedford-Stuyvesant, New York"
Beautiful communal house Bushwick,78,Private room,7 reviews,"Bushwick, Brooklyn"
Relaxing Room in Hip Neighborhood,102,Private room,4 reviews,"Williamsburg, Brooklyn"
Charming Rental in Brooklyn Heights,187,Entire home/apt,8 reviews,"Brooklyn Heights, Brooklyn"
Prospect Guestroom in Brooklyn,70,Private room,51 reviews,"Flatbush, Brooklyn"
Amazing Private Bedroom in Bushwick,71,Private room,0 reviews,"Bedford-Stuyvesant, Brooklyn"
Bedford Ave Artist Loft,225,Entire home/apt,24 reviews,"Williamsburg, Brooklyn"
Sunny & Spacious in Park Slope,258,Entire home/apt,12 reviews,"Park Slope, Brooklyn"
New York City room for rent!,45,Private room,4 reviews,"Bushwick, Brooklyn"
Large Cozy Loft Bedroom,105,Private room,10 reviews,"Williamsburg, Brooklyn"
Sunny Lofted Apartment,342,Entire home/apt,24 reviews,"Greenpoint, Brooklyn"
Park Slope 4b Next To Prospect Park,517,Entire home/apt,16 reviews,"Park Slope, Brooklyn"
Urban Jungle in Bedford Stuyvesant,142,Entire home/apt,47 reviews,"Bushwick, Brooklyn"
"HUGE, SUNNY ROOM, BLOCK 4RM TRAIN!",168,Private room,3 reviews,"Williamsburg, Brooklyn"
POST CARD VIEWS of Park and Skyline,209,Entire home/apt,52 reviews,"Williamsburg, Brooklyn"
"Bright, Airy Williamsburg Apt",174,Entire home/apt,10 reviews,"Williamsburg, Brooklyn"
"Cozy 1BR in Boerum Hill, GREAT loc!",180,Entire home/apt,69 reviews,"Cobble Hill, Brooklyn"
"Fab, Cozy Brownstone Apt in BedStuy",123,Entire home/apt,84 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny garden side airy room,71,Private room,5 reviews,"Bushwick, Brooklyn"
Cute lil room in a charming bk apt,110,Private room,11 reviews,"Williamsburg, Brooklyn"
Greenpoint small studio,97,Private room,17 reviews,"Greenpoint, Brooklyn"
Beautiful Loft in Bushwick Brooklyn,142,Entire home/apt,17 reviews,"Bushwick, Brooklyn"
3 Bed (2 Bath) Williamsburg Duplex!,368,Entire home/apt,12 reviews,"Williamsburg, Brooklyn"
SUNNY ROOM B CHIC SOUTH WILLYBURG!!,129,Private room,45 reviews,"Williamsburg, Brooklyn"
Beautiful Brooklyn with garden!,181,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
Gorgeous duplex 1 BR Brownstone apt,161,Entire home/apt,22 reviews,"Clinton Hill, Brooklyn"
Bedroom//Hip Neighborhood//Backyard,52,Private room,69 reviews,"Bushwick, Brooklyn"
"Dreamy room, eclectic Bushwick apt",45,Private room,12 reviews,"Bushwick, Brooklyn"
Modern & sunny 1bd in Downtown BK,258,Entire home/apt,2 reviews,"Downtown Brooklyn, Brooklyn"
Spacious Loft 5 min to Union Square,168,Private room,75 reviews,"Williamsburg, Brooklyn"
Lively loft!,63,Private room,66 reviews,"Williamsburg, Brooklyn"
Sunny Central Williamsburg Apt,181,Entire home/apt,10 reviews,"Williamsburg, Brooklyn"
Cozy bedroom in My Loft in New York,76,Private room,59 reviews,"Williamsburg, Brooklyn"
Quirky Duplex - Historic Park Slope,97,Private room,40 reviews,"Park Slope, Brooklyn"
Williamsburg Converted Church Loft,310,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Amazing Boerum Hill Apartment!,220,Entire home/apt,48 reviews,"Boerum Hill, Brooklyn"
B & B Room 1,78,Private room,36 reviews,"Bedford-Stuyvesant, Brooklyn"
Huge room in cool Williamsburg,103,Private room,62 reviews,"Williamsburg, Brooklyn"
Quintessential W'burg Apartment,129,Private room,33 reviews,"Williamsburg, Brooklyn"
"Gorgeous, Sunny Private Bed, 2 Bath",71,Private room,6 reviews,"Bushwick, Brooklyn"
Charm & Beauty close to Manhattan,128,Entire home/apt,31 reviews,"Bedford-Stuyvesant, Brooklyn"
"Spacious, Private, Convenient 1 BR!",103,Private room,1 review,"Brooklyn Heights, Brooklyn"
"Budget Luxury, w/ Manhattan Views!",102,Private room,49 reviews,"Williamsburg, Brooklyn"
Cute Private Room With Backyard!!!,127,Private room,7 reviews,"Fort Greene, Brooklyn"
Cosy room in Brooklyn loft,103,Private room,3 reviews,"Williamsburg, Brooklyn"
Bright Quiet 1BD in the Heart of BK,194,Entire home/apt,5 reviews,"Boerum Hill, Brooklyn"
Charming Garden Room with Queen Bed,78,Private room,19 reviews,"Bushwick, Brooklyn"
TRUE LOFT IN LANDMARKED DUMBO BLDG!,136,Private room,42 reviews,"DUMBO, Brooklyn"
KOZY ROOM IN FORT GREENE BROOKLYN..,85,Private room,95 reviews,"Fort Greene, Brooklyn"
Quiet townhouse/Bedford Stuyvesant,258,Entire home/apt,5 reviews,"Bedford-Stuyvesant, Brooklyn"
"Sunny room, nice house, bikes!",90,Private room,19 reviews,"Bedford-Stuyvesant, Brooklyn"
Huge BR in W'Burg - pvt terrace,141,Private room,4 reviews,"Williamsburg, Brooklyn"
LARGE PRIVATE ONE BEDROOM APARTMENT,97,Entire home/apt,8 reviews,"Bedford-Stuyvesant, Brooklyn"
Sun soaked studio in Williamsburg,205,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
bedroom in front  prospect park sw,70,Private room,60 reviews,Brooklyn
Tranquil Single Bedroom in BKLYN!,75,Private room,46 reviews,"Flatbush, Brooklyn"
Bright Spacious 2-bedroom,155,Entire home/apt,6 reviews,"Crown Heights, Brooklyn"
Large Bedroom 15 Min From Manhattan,65,Private room,45 reviews,"Sunset Park, Brooklyn"
Luxury Romantic PENTHOUSE w\POOL,257,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Room with En Suite Bathroom & Deck,110,Private room,211 reviews,"Clinton Hill, Brooklyn"
